Season,home_team,away_team,home_score,away_score,result
2023-2024,Germany,Scotland,,,Germany
2023-2024,Hungary,Switzerland,,,Switzerland
2023-2024,Germany,Hungary,,,Germany
2023-2024,Scotland,Switzerland,,,draw
2023-2024,Switzerland,Germany,,,draw
2023-2024,Scotland,Hungary,,,Hungary
2023-2024,Spain,Croatia,,,Spain
2023-2024,Italy,Albania,,,Italy
2023-2024,Croatia,Albania,,,draw
2023-2024,Spain,Italy,,,Spain
2023-2024,Spain,Albania,,,Spain
2023-2024,Croatia,Italy,,,draw
2023-2024,Serbia,England,,,England
2023-2024,Slovenia,Denmark,,,draw
2023-2024,Denmark,England,,,draw
2023-2024,Slovenia,Serbia,,,draw
2023-2024,Serbia,Denmark,,,draw
2023-2024,England,Slovenia,,,draw
2023-2024,Poland,Netherlands,,,Netherlands
2023-2024,Austria,France,,,France
2023-2024,Poland,Austria,,,Austria
2023-2024,Netherlands,France,,,draw
2023-2024,Netherlands,Austria,,,Austria
2023-2024,France,Poland,,,draw
2023-2024,Romania,Ukraine,,,Romania
2023-2024,Belgium,Slovakia,,,Slovakia
2023-2024,Romania,Slovakia,,,draw
2023-2024,Belgium,Ukraine,,,draw
2023-2024,Belgium,Romania,,,Belgium
2023-2024,Slovakia,Ukraine,,,Ukraine
2023-2024,Turkey,Georgia,,,Turkey
2023-2024,Portugal,Czechia,,,Portugal
2023-2024,Georgia,Czechia,,,draw
2023-2024,Turkey,Portugal,,,Portugal
2023-2024,Turkey,Czechia,,,Turkey
2023-2024,Portugal,Georgia,,,Georgia
